x y
167700 638
167800 676
167900 724
168000 762
168100 796
168200 828
168300 852
168400 894
168500 924
168600 942
168700 986
168800 1020
168900 1066
169000 1112
169100 1142
169200 1190
169300 1228
169400 1264
169500 1312
169600 1366
169700 1418
169800 1422
169900 1454
170000 1502
170100 1520
170200 1570
170300 1610
170400 1654
170500 1700
170600 1748
170700 1768
170800 1800
170900 1822
171000 1858
171100 1914
171200 1948
171300 1996
171400 2036
171500 2078
171600 2102
171700 2116
171800 2112
171900 2076
172000 2046
172100 2006
172200 1964
172300 1916
172400 1874
172500 1844
172600 1804
172700 1746
172800 1704
172900 1678
173000 1644
173100 1604
173200 1568
173300 1538
173400 1506
173500 1442
173600 1402
173700 1360
173800 1334
173900 1284
174000 1238
174100 1192
174200 1140
174300 1102
174400 1056
174500 1032
174600 988
174700 942
174800 910
174900 868
175000 820
175100 778
175200 734
175300 704
175400 670
175500 610
175600 560
175700 526
175800 478
175900 442
176000 410
176100 374
176200 336
176300 304
176400 276
176500 278
176600 326
176700 366
176800 394
176900 406
177000 372
177100 330
177200 296
177300 252
177400 216
177500 258
177600 276
177700 320
177800 322
177900 328
178000 318
178100 290
178200 244
178300 206
178400 176
178500 168
178600 158
178700 184
178800 230
178900 260
179000 266
179100 268
179200 220
179300 188
179400 152
179500 130
179600 162
179700 198
179800 246
179900 286
180000 334
180100 378
180200 422
180300 474
180400 512
180500 552
180600 604
180700 638
180800 678
180900 708
181000 762
181100 794
181200 830
181300 868
181400 908
181500 940
181600 976
181700 996
181800 958
181900 930
182000 894
182100 864
182200 810
182300 772
182400 724
182500 686
182600 652
182700 612
182800 570
182900 534
183000 496
183100 488
183200 498
183300 520
183400 520
183500 496
183600 452
183700 432
183800 402
183900 372
184000 334
184100 298
184200 260
184300 296
184400 328
184500 380
184600 402
184700 426
184800 486
184900 532
185000 546
185100 570
185200 618
185300 622
185400 602
185500 572
185600 530
185700 492
185800 428
185900 404
186000 370
186100 346
186200 306
186300 312
186400 316
186500 312
186600 332
186700 372
186800 398
186900 432
187000 454
187100 438
187200 404
187300 378
187400 338
187500 312
187600 278
187700 234
187800 238
187900 272
188000 320
188100 320
188200 268
188300 218
188400 166
